"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Metric Name","Metric Unit","Minimum","Maximum","Average"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_architecture","","","","432"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_async_engine_count","","","","1"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_can_flush_remote_writes","","","","0"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_can_map_host_memory","","","","1"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_can_tex2d_gather","","","","1"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_can_use_64_bit_stream_mem_ops","","","","1"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_can_use_64_bit_stream_mem_ops_v1","","","","0"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_can_use_host_pointer_for_registered_mem","","","","0"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_can_use_stream_mem_ops_v1","","","","0"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_can_use_stream_wait_value_nor","","","","1"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_can_use_stream_wait_value_nor_v1","","","","0"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_chip","","","","437"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_clock_rate","","","","1.515.000"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_cluster_launch","","","","1"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_compute_capability_major","","","","12"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_compute_capability_minor","","","","0"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_compute_mode","","","","0"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_compute_preemption_supported","","","","1"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_concurrent_kernels","","","","1"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_concurrent_managed_access","","","","0"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_confidential_computing_mode","","","","No-CC"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_cooperative_launch","","","","1"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_cooperative_multi_device_launch","","","","0"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_deferred_mapping_cuda_array_supported","","","","1"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_device_index","","","","0"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_direct_managed_mem_access_from_host","","","","0"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_display_name","","","","NVIDIA GeForce RTX 5070 Ti Laptop GPU"
"11732","klb_orbit_bench.exe","127.0.0.1","<unnamed>::query_seed_count_kernel(unsigned long long, <unnamed>::DeviceQuery, <unnamed>::OrbitCounters *)","(256, 1, 1)","(131072, 1, 1)","0","12.0","3","device__attribute_dma_buf_supported","","","","0"
